order_id,order_date,region,category,product,customer_id,quantity,price,sales,profit
ORD-00304,2023-12-12 17:49:50.595611,South,Electronics,Headphones,CUST-0030,3,33.68,101.04,33.06
ORD-00244,2023-10-05 06:41:45.329153,East,Electronics,Webcam,CUST-0075,3,235.55,706.65,-68.92
ORD-00066,2023-03-16 04:03:45.705329,East,Clothing,T-Shirt,CUST-0125,5,428.99,2144.95,144.82
ORD-00074,2023-03-25 07:08:50.407523,West,Clothing,T-Shirt,CUST-0035,7,149.57,1046.99,126.26
ORD-00243,2023-10-04 03:18:37.241379,East,Electronics,Webcam,,8,283.52,2268.16,-199.74
ORD-00171,2023-07-13 23:32:54.921630,East,Office Supplies,Notebook Pack,CUST-0032,9,397.85,3580.65,-16.54
ORD-00139,2023-06-07 11:12:36.112852,East,Furniture,Office Chair,CUST-0040,8,245.71,1965.68,210.11
ORD-00031,2023-02-04 05:34:02.633228,North,Clothing,Socks Pack,CUST-0074,2,62.97,125.94,-7.62
ORD-00237,2023-09-27 06:59:48.714733,West,Furniture,Desk,CUST-0044,5,286.13,1430.65,73.75999999999999
ORD-00061,2023-03-10 11:08:05.266457,South,Office Supplies,Notebook Pack,CUST-0145,5,314.88,1574.4,98.08
ORD-00274,2023-11-08 00:00:00.000000,West,Electronics,Monitor,CUST-0014,2,116.83,233.66,22.67
ORD-00155,2023-06-25 17:22:45.517241,West,Furniture,Office Chair,CUST-0112,7,53.0,371.0,104.11
ORD-00189,2023-08-03 12:29:20.501567,West,Office Supplies,Printer Paper,CUST-0050,5,468.29,2341.45,665.66
ORD-00306,2023-12-15 00:00:00.000000,North,Electronics,Webcam,CUST-0040,11,457.08,5027.88,-185.91
ORD-00029,2023-02-01 22:47:46.457680,North,Electronics,Headphones,CUST-0102,7,288.35,2018.45,221.41
ORD-00115,2023-05-11 01:57:22.006269,South,Furniture,Office Chair,CUST-0063,5,5.82,29.1,-1.44
ORD-00160,2023-07-01 10:18:25.956112,South,Electronics,Webcam,CUST-0027,7,209.72,1468.04,150.38
ORD-00004,2023-01-04 10:09:24.263322,North,Office Supplies,Notebook Pack,CUST-0125,4,207.945,831.78,7.49
ORD-00277,2023-11-11 22:25:12.225705,West,Electronics,Webcam,CUST-0115,8,88.59,708.72,227.85
