customer_id,customer_name,segment,city,join_date
CUST-0001,Customer 1,Corporate,Islamabad,2019-01-01
CUST-0002,Customer 2,Consumer,Faisalabad,2019-01-10
CUST-0003,Customer 3,Home Office,Lahore,2019-01-19
CUST-0004,Customer 4,Corporate,Peshawar,2019-01-28
CUST-0005,Customer 5,Consumer,Multan,2019-02-06
CUST-0006,Customer 6,Home Office,Lahore,2019-02-15
CUST-0007,Customer 7,Corporate,Karachi,2019-02-24
CUST-0008,Customer 8,Corporate,Multan,2019-03-05
CUST-0009,Customer 9,Consumer,Karachi,2019-03-14
CUST-0010,Customer 10,Consumer,Lahore,2019-03-23
CUST-0011,Customer 11,Consumer,Multan,2019-04-01
CUST-0012,Customer 12,Home Office,Faisalabad,2019-04-10
CUST-0013,Customer 13,Corporate,Lahore,2019-04-19
CUST-0014,Customer 14,Home Office,Karachi,2019-04-28
CUST-0015,Customer 15,Consumer,Karachi,2019-05-07
CUST-0016,Customer 16,Consumer,Multan,2019-05-16
CUST-0017,Customer 17,Corporate,Faisalabad,2019-05-25
CUST-0018,Customer 18,Consumer,Faisalabad,2019-06-03
CUST-0019,Customer 19,Home Office,Peshawar,2019-06-12
CUST-0020,Customer 20,Corporate,Faisalabad,2019-06-21
CUST-0021,Customer 21,Corporate,Karachi,2019-06-30
CUST-0022,Customer 22,Consumer,Lahore,2019-07-09
CUST-0023,Customer 23,Home Office,Multan,2019-07-18
CUST-0024,Customer 24,Home Office,Peshawar,2019-07-27
CUST-0025,Customer 25,Corporate,Peshawar,2019-08-05
CUST-0026,Customer 26,Consumer,Karachi,2019-08-14
CUST-0027,Customer 27,Consumer,Karachi,2019-08-23
CUST-0028,Customer 28,Consumer,Lahore,2019-09-01
CUST-0029,Customer 29,Consumer,Lahore,2019-09-10
CUST-0030,Customer 30,Corporate,Multan,2019-09-19
CUST-0031,Customer 31,Corporate,Multan,2019-09-28
CUST-0032,Customer 32,Home Office,Islamabad,2019-10-07
CUST-0033,Customer 33,Consumer,Karachi,2019-10-16
CUST-0034,Customer 34,Consumer,Faisalabad,2019-10-25
CUST-0035,Customer 35,Consumer,Islamabad,2019-11-03
CUST-0036,Customer 36,Consumer,Faisalabad,2019-11-12
CUST-0037,Customer 37,Consumer,Peshawar,2019-11-21
CUST-0038,Customer 38,Consumer,Karachi,2019-11-30
CUST-0039,Customer 39,Consumer,Karachi,2019-12-09
CUST-0040,Customer 40,Corporate,Peshawar,2019-12-18
CUST-0041,Customer 41,Consumer,Multan,2019-12-27
CUST-0042,Customer 42,Home Office,Karachi,2020-01-05
CUST-0043,Customer 43,Corporate,Multan,2020-01-14
CUST-0044,Customer 44,Consumer,Multan,2020-01-23
CUST-0045,Customer 45,Home Office,Peshawar,2020-02-01
CUST-0046,Customer 46,Home Office,Karachi,2020-02-10
CUST-0047,Customer 47,Consumer,Peshawar,2020-02-19
CUST-0048,Customer 48,Consumer,Peshawar,2020-02-28
CUST-0049,Customer 49,Corporate,Karachi,2020-03-08
CUST-0050,Customer 50,Consumer,Lahore,2020-03-17
CUST-0051,Customer 51,Consumer,Multan,2020-03-26
CUST-0052,Customer 52,Consumer,Lahore,2020-04-04
CUST-0053,Customer 53,Corporate,Karachi,2020-04-13
CUST-0054,Customer 54,Corporate,Islamabad,2020-04-22
CUST-0055,Customer 55,Corporate,Peshawar,2020-05-01
CUST-0056,Customer 56,Corporate,Peshawar,2020-05-10
CUST-0057,Customer 57,Consumer,Lahore,2020-05-19
CUST-0058,Customer 58,Corporate,Peshawar,2020-05-28
CUST-0059,Customer 59,Consumer,Lahore,2020-06-06
