age,fare,sibsp,parch,pclass,sex,embarked
,56.4958,0,0,3,male,S
,0.0,0,0,2,male,S
,221.7792,0,0,1,male,S
18.0,9.35,0,1,3,female,S
31.0,26.25,1,1,2,female,S
21.0,8.4333,0,0,3,male,S
26.0,56.4958,0,0,3,male,S
,227.525,0,0,1,male,C
,7.75,0,0,3,male,Q
31.0,18.0,1,0,3,female,S
56.0,35.5,0,0,1,male,C
21.0,9.825,1,0,3,female,S
,69.55,8,2,3,male,S
56.0,26.55,0,0,1,male,S
21.0,7.8,0,0,3,male,S
33.0,90.0,1,0,1,female,Q
21.0,7.7333,0,0,3,male,Q
,7.25,0,0,3,male,S
43.0,6.45,0,0,3,male,S
,25.4667,3,1,3,female,S
30.0,16.1,1,0,3,male,S
32.0,76.2917,0,0,1,female,C
,79.2,0,0,1,female,C
19.0,10.5,0,0,2,male,S
24.0,7.8958,0,0,3,male,S
45.0,13.5,0,0,2,female,S
23.0,7.8958,0,0,3,male,S
42.0,8.4042,0,1,3,male,S
39.0,83.1583,1,1,1,female,C
16.0,8.05,0,0,3,male,S
,7.8958,0,0,3,male,S
66.0,10.5,0,0,2,male,S
28.0,26.55,0,0,1,male,S
51.0,12.525,0,0,2,male,S
47.0,15.0,0,0,2,male,S
18.0,8.05,0,0,3,male,S
36.0,13.0,0,0,2,male,S
30.0,13.0,0,0,2,female,S
22.0,29.0,1,1,2,female,S
,7.75,0,0,3,female,Q
25.0,13.0,0,0,2,male,S
,7.2292,0,0,3,male,C
32.0,13.0,0,0,2,female,S
,7.775,0,0,3,male,S
19.0,7.8542,1,0,3,female,S
52.0,30.5,0,0,1,male,S
71.0,34.6542,0,0,1,male,C
32.0,7.925,0,0,3,male,S
19.0,7.65,0,0,3,male,S
,15.5,1,0,3,male,Q
22.0,9.8375,0,0,3,female,S
50.0,55.9,1,0,1,male,S
4.0,27.9,3,2,3,male,S
36.0,120.0,1,2,1,female,S
19.0,53.1,1,0,1,male,S
30.0,31.0,0,0,1,female,C
,56.4958,0,0,3,male,S
30.0,7.25,0,0,3,male,S
21.0,8.05,0,0,3,male,S
30.0,24.0,1,0,2,male,C
18.0,23.0,0,1,2,female,S
19.0,0.0,0,0,3,male,S
38.0,227.525,0,0,1,female,C
10.0,27.9,3,2,3,male,S
,0.0,0,0,2,male,S
29.0,10.4625,1,1,3,female,S
,7.3125,0,0,3,male,S
28.0,15.85,1,0,3,male,S
39.0,31.275,1,5,3,female,S
2.0,10.4625,0,1,3,female,S
30.0,10.5,0,0,2,male,S
25.0,7.225,0,0,3,male,C
14.0,39.6875,4,1,3,male,S
35.0,52.0,1,0,1,female,S
17.0,110.8833,0,2,1,male,C
,7.725,0,0,3,male,Q
18.0,6.75,0,0,3,female,Q
23.0,7.55,0,0,3,female,S
50.0,8.05,0,0,3,male,S
21.0,262.375,2,2,1,female,C
58.0,146.5208,0,0,1,female,C
3.0,41.5792,1,2,2,female,C
13.0,19.5,0,1,2,female,S
57.0,12.35,0,0,2,male,Q
16.0,26.0,0,0,2,male,S
,7.75,0,0,3,female,Q
60.0,39.0,1,1,2,male,S
22.0,135.6333,0,0,1,male,C
30.0,13.0,0,0,2,male,S
17.0,8.6625,0,0,3,male,S
25.0,7.8958,0,0,3,male,S
27.0,8.6625,0,0,3,male,S
36.0,0.0,0,0,3,male,S
,8.05,0,0,3,female,S
,7.2292,0,0,3,female,C
29.0,9.4833,0,0,3,male,S
30.0,106.425,0,0,1,female,C
,8.05,0,0,3,male,S
51.0,61.3792,0,1,1,male,C
16.0,7.7333,0,0,3,female,Q
,7.75,0,0,3,female,Q
1.0,15.7417,0,2,3,female,C
22.0,7.7958,0,0,3,male,S
,22.3583,1,1,3,female,C
7.0,29.125,4,1,3,male,Q
,30.5,0,0,1,male,S
,7.75,1,0,3,male,Q
33.0,53.1,1,0,1,female,S
7.0,39.6875,4,1,3,male,S
32.0,7.75,0,0,3,male,Q
50.0,13.0,0,0,2,male,S
59.0,13.5,0,0,2,male,S
28.0,82.1708,1,0,1,male,C
,8.05,0,0,3,male,S
60.0,26.55,0,0,1,male,S
17.0,14.4583,0,0,3,female,C
32.5,30.0708,1,0,2,male,C
21.0,77.9583,0,0,1,female,S
3.0,31.3875,4,2,3,male,S
19.0,10.5,0,0,2,male,S
24.0,18.75,2,3,2,female,S
18.0,79.65,0,2,1,female,S
49.0,25.9292,0,0,1,female,S
41.0,20.2125,0,2,3,female,S
30.0,9.5,0,0,3,male,S
59.0,7.25,0,0,3,male,S
4.0,13.4167,0,1,3,female,C
,15.2458,0,2,3,female,C
51.0,7.75,0,0,3,male,S
45.0,26.25,1,1,2,female,S
18.0,20.2125,1,1,3,male,S
,69.55,8,2,3,female,S
,15.5,1,0,3,female,Q
28.0,33.0,0,1,2,male,S
55.5,8.05,0,0,3,male,S
24.0,247.5208,0,1,1,male,C
,0.0,0,0,1,male,S
,16.1,1,0,3,female,S
,23.45,1,2,3,male,S
,69.55,8,2,3,male,S
29.0,26.0,1,0,2,female,S
58.0,153.4625,0,1,1,female,S
26.0,7.925,0,0,3,female,S
44.0,57.9792,0,1,1,female,C
,7.225,0,0,3,male,C
32.0,8.3625,0,0,3,male,S
26.0,10.5,0,0,2,male,S
16.0,8.05,0,0,3,male,S
19.0,7.775,0,0,3,male,S
,7.8958,0,0,3,male,S
48.0,7.8542,0,0,3,male,S
,7.75,0,0,3,male,Q
9.0,46.9,5,2,3,male,S
35.0,83.475,1,0,1,female,S
12.0,11.2417,1,0,3,male,C
31.0,7.8542,0,0,3,female,S
27.0,13.8583,1,0,2,female,C
43.0,211.3375,0,1,1,female,S
30.5,7.75,0,0,3,female,Q
34.0,8.05,0,0,3,male,S
,0.0,0,0,2,male,S
23.0,13.0,0,0,2,male,S
24.0,16.7,0,2,3,female,S
39.0,26.0,0,0,2,male,S
24.0,13.0,0,0,2,female,S
,7.8292,0,0,3,male,Q
0.75,19.2583,2,1,3,female,C
34.0,13.0,0,0,2,male,S
23.0,9.225,0,0,3,male,S
42.0,26.0,1,0,2,female,S
,8.4583,0,0,3,male,Q
22.0,8.05,0,0,3,male,S
0.83,29.0,0,2,2,male,S
,7.55,0,0,3,female,S
52.0,13.5,0,0,2,male,S
17.0,7.0542,1,0,3,male,S
49.0,89.1042,1,0,1,male,C
44.0,7.925,0,0,3,male,S
6.0,12.475,0,1,3,male,S
64.0,26.0,0,0,1,male,S
18.0,7.775,0,0,3,female,S
19.0,14.5,0,0,3,male,S
26.0,20.575,1,2,3,male,S
43.0,26.25,1,1,2,male,S
,24.15,0,0,3,male,Q
23.0,7.925,0,0,3,female,S
16.0,39.6875,4,1,3,male,S
36.0,71.0,0,2,1,female,S
